# minFrequency, maxFrequency, mode, filterWidth, step, color, name

# 2200m
156000000,    174000000,    Narrow FM, 10000, 12500, #90FF32D0, Marine

# 70cm
430000000,    432000000,    Narrow FM, 10000, 10, #90FF32D0, 70cm Ham Band
432000000,    432063000,    CW-L,  600, 10, #903232FF, 70cm Ham Band
432063000,    432066000,    DIGI_U,  3000, 10, #90FF3232, 70cm Ham Band
432066000,    432100000,    CW-L,  600, 10, #903232FF, 70cm Ham Band
432100000,    432174000,    USB,  2700, 10, #9032EDFF, 70cm Ham Band
432174000,    432177000,    DIGI_U,  3000, 10, #90FF3232, 70cm Ham Band
432177000,    432300000,    USB,  2700, 10, #9032EDFF, 70cm Ham Band
432300000,    432303000,    DIGI_U,  3000, 10, #90FF3232, 70cm Ham Band
432303000,    432400000,    USB,  2700, 10, #9032EDFF, 70cm Ham Band
432400000,    432500000,    CW-L,  600, 10, #903232FF, 70cm Ham Band
432500000,    434000000,    Narrow FM, 10000, 10, #90FF32D0, 70cm Ham Band
434000000,    434100000,    CW-L,  600, 10, #903232FF, 70cm Ham Band
434100000,    446200000,    Narrow FM, 10000, 10, #90FF32D0, 70cm Ham Band

# 23cm
1260000000,   1270000000,   Narrow FM, 10000, 10, #90FF32D0, 23cm Ham Band
1270000000,   1290994000,   Narrow FM, 10000, 10, #90FF32D0, 23cm Ham Band
1290994000,   1291481000,   Narrow FM, 10000, 10, #90FF32D0, 23cm Ham Band
1291481000,   1296000000,   Narrow FM, 10000, 10, #90FF32D0, 23cm Ham Band
1296000000,   1296065000,   CW-L,  600, 10, #903232FF, 23cm Ham Band
1296065000,   1296068000,   DIGI_U,  3000, 10, #90FF3232, 23cm Ham Band
1296068000,   1296800000,   CW-L,  600, 10, #903232FF, 23cm Ham Band
1296800000,   1296994000,   CW-L,  600, 10, #903232FF, 23cm Ham Band
1296994000,   1297490000,   Narrow FM, 10000, 10, #90FF32D0, 23cm Ham Band
1297490000,   1298000000,   Narrow FM, 10000, 10, #90FF32D0, 23cm Ham Band
1298000000,   1300000000,   Narrow FM, 10000, 10, #90FF32D0, 23cm Ham Band

# 13cm
2320000000,   2320065000,   USB,  2700, 10, #9032EDFF, 13cm Ham Band
2320065000,   2320068000,   DIGI_U,  3000, 10, #90FF3232, 13cm Ham Band
2320068000,   2450000000,   USB,  2700, 10, #9032EDFF, 13cm Ham Band

# 6cm
5650000000,   5650065000,   CW-L,  600, 10, #903232FF, 6cm Ham Band
5650065000,   5650068000,   DIGI_U,  3000, 10, #90FF3232, 6cm Ham Band
5650068000,   5850000000,   CW-L,  600, 10, #903232FF, 6cm Ham Band

# 3cm
10000000000,  10368200000,  CW-L,  600, 10, #903232FF, 3cm Ham Band
10368200000,  10368203000,  DIGI_U,  3000, 10, #90FF3232, 3cm Ham Band
10368203000,  10489400000,  CW-L,  600, 10, #903232FF, 3cm Ham Band
